Category,Medicine
Abilify,Aripiprazole
Acebutolol,Sectral
Albuterol,Ventolin
alteplase,Activase
Analgesic,Paracetamol
antacid,Tums
Antidiarrhoeal,Imodium
Antifungal liquids,Clotrimazole
Antifungal sprays,Terbinafine
Antifungal cream,Miconazole
Antihistamine,Loratadine
Antihypertensive drug,Amlodipine
antipsychotics,Risperidone
Antiviral drugs,Acyclovir
Artemisinin-based combination therapies,Artemether-Lumefantrine
Benazepril,Lotensin
Chloramphenicol,Chloromycetin
Chloroquine phosphate,Aralen
cholinesterase inhibitors,Donepezil
diuretic,Hydrochlorothiazide
DPP-4 inhibitors,Sitagliptin
Ferrous sulfate,Feosol
GLP-1 receptor agonists,Liraglutide
immunosuppressive drug,Cyclosporine
Imodium,Loperamide
Insulin,Humulin
intravenous,Saline
Isoniazid,INH
Levalbuterol,Xopenex
Levothyroxine,Synthroid
Lidocaine,Lidoderm
Lyrics(pregabalin),Pregabalin
Meglitinides,Repaglinide
Metformin,Glucophage
Nasal decongestants,Oxymetazoline
nifedipine,Procardia
No Medicine,No Medicine
No medicine (consult doctor immediately),No medicine (consult doctor immediately)
no medicine available (consult doctor),no medicine available (consult doctor)
Nonsteroidal anti-inflammatory drugs (NSAIDs),Ibuprofen
Oseltamivir,Tamiflu
Penicillin,Pen VK
Pepto-Bismol,Bismuth subsalicylate
polio vaccine (OPV),Oral polio vaccine
Proton pump inhibitors,Omeprazole
Sedative,Diazepam
Selective serotonin reuptake inhibitors (SSRIs),Fluoxetine
SGLT2 inhibitors,Canagliflozin
Statin,Atorvastatin
Steroid,Prednisone
stimulant,Methylphenidate
Sulfonylureas,Glimepiride
tecovirimat (tpoxx),Tpoxx
Thiazolidinediones,Pioglitazone
Ursodeoxycholic acid (UDCA),Ursodiol
