symptom1,symptom2,symptom3,symptom4,OTC Medicine
Nausea,Muscle pain,Heartburn,Diarrhea,Antacid (Rolaids)
Sinus pressure,Acid reflux,Muscle pain,Fever,Electrolyte solution (Pedialyte)
Hangover,Allergic rash,Dry cough,Insomnia,Cold-EEZE
Common cold,Heartburn,Runny nose,Cough,Bismuth subsalicylate
Headache,Acid reflux,Nausea,Menstrual cramps,Antacid (Tums)
Fever,Common cold,Dizziness,Allergic rash,Guaifenesin
Acid reflux,Common cold,Headache,Dry skin,Cold-EEZE
Heartburn,Menstrual cramps,Headache,Hangover,Antacid (Tums)
Common cold,Nausea,Sinus pressure,Diarrhea,Saline nasal spray
Menstrual cramps,Fever,Insomnia,Toothache,Electrolyte solution (Pedialyte)
Toothache,Dizziness,Allergic rash,Cough,Ibuprofen
Insomnia,Diarrhea,Cough,Headache,Aspirin
Dry cough,Cough,Sinus pressure,Hangover,Guaifenesin
Headache,Heartburn,Cough,Muscle pain,Pseudoephedrine
Menstrual cramps,Dizziness,Runny nose,Toothache,Pseudoephedrine
Allergic rash,Runny nose,Cough,Muscle pain,Ibuprofen
Common cold,Cough,Heartburn,Dry skin,Bismuth subsalicylate
Runny nose,Heartburn,Toothache,Diarrhea,Pseudoephedrine
Runny nose,Hangover,Headache,Dizziness,Ginkgo biloba
Fever,Menstrual cramps,Insomnia,Toothache,Electrolyte solution (Pedialyte)
Fever,Muscle pain,Headache,Diarrhea,Loperamide
Dry cough,Toothache,Common cold,Allergic rash,Antihistamine (Benadryl)
Runny nose,Headache,Cough,Insomnia,Nasal spray (Flonase)
Dizziness,Allergic rash,Runny nose,Hangover,Ginger supplements
Fever,Toothache,Headache,Heartburn,Orajel
Dizziness,Menstrual cramps,Fever,Heartburn,Electrolyte solution (Pedialyte)
Menstrual cramps,Dizziness,Allergic rash,Insomnia,Calamine lotion
Hangover,Menstrual cramps,Allergic rash,Muscle pain,Ginger supplements
Common cold,Fever,Acid reflux,Sinus pressure,Paracetamol
Toothache,Dizziness,Runny nose,Headache,Electrolyte solution (Pedialyte)
Fever,Headache,Sinus pressure,Runny nose,Electrolyte solution (Pedialyte)
Heartburn,Hay fever,Insomnia,Muscle pain,Lavender oil
Dizziness,Toothache,Dry cough,Fever,Aspirin
Headache,Toothache,Dry skin,Common cold,Hydrocortisone cream
Cough,Menstrual cramps,Sinus pressure,Dizziness,Ginger supplements
Acid reflux,Fever,Runny nose,Nausea,Electrolyte solution (Pedialyte)
Cough,Acid reflux,Allergic rash,Toothache,Aspirin
Heartburn,Cough,Insomnia,Dry cough,Lavender oil
Hay fever,Insomnia,Sinus pressure,Fever,Diphenhydramine
Toothache,Sinus pressure,Hay fever,Common cold,Paracetamol
Sinus pressure,Common cold,Dry skin,Acid reflux,Petroleum jelly
Headache,Hay fever,Muscle pain,Fever,Ibuprofen
Acid reflux,Allergic rash,Dry skin,Nausea,Bismuth subsalicylate
Common cold,Hay fever,Menstrual cramps,Dry skin,Nasal spray (Flonase)
Sinus pressure,Dry cough,Hangover,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Heartburn,Runny nose,Hangover,Common cold,Electrolyte solution (Pedialyte)
Runny nose,Dizziness,Headache,Hangover,Cold-EEZE
Nausea,Sinus pressure,Muscle pain,Allergic rash,Pseudoephedrine
Runny nose,Cough,Dry cough,Fever,Honey
Nausea,Dizziness,Sinus pressure,Muscle pain,Cold-EEZE
Heartburn,Dry cough,Cough,Fever,Proton Pump Inhibitor (Omeprazole)
Diarrhea,Allergic rash,Muscle pain,Nausea,Dimenhydrinate
Heartburn,Common cold,Toothache,Dry skin,Paracetamol
Dry skin,Heartburn,Allergic rash,Headache,Moisturizing lotion
Acid reflux,Toothache,Menstrual cramps,Fever,Ibuprofen
Fever,Nausea,Toothache,Dry skin,Hydrocortisone cream
Heartburn,Menstrual cramps,Runny nose,Headache,Loratadine
Cough,Runny nose,Insomnia,Fever,Paracetamol
Sinus pressure,Dry skin,Acid reflux,Dizziness,Petroleum jelly
Runny nose,Menstrual cramps,Toothache,Headache,Orajel
Heartburn,Dry cough,Sinus pressure,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Heartburn,Nausea,Sinus pressure,Dizziness,Ginger supplements
Insomnia,Dry cough,Hangover,Headache,Dextromethorphan
Allergic rash,Headache,Dizziness,Muscle pain,Hydrocortisone cream
Acid reflux,Runny nose,Headache,Dry skin,Aloe vera gel
Nausea,Hangover,Dry skin,Fever,Ginger supplements
Hangover,Runny nose,Menstrual cramps,Dry skin,Moisturizing lotion
Cough,Toothache,Runny nose,Insomnia,Loratadine
Diarrhea,Dry cough,Cough,Common cold,Dextromethorphan
Sinus pressure,Hangover,Fever,Dry cough,Pseudoephedrine
Heartburn,Toothache,Runny nose,Muscle pain,Cold-EEZE
Common cold,Dry cough,Insomnia,Menstrual cramps,Melatonin
Menstrual cramps,Nausea,Allergic rash,Acid reflux,Electrolyte solution (Pedialyte)
Dry cough,Hangover,Toothache,Nausea,Dimenhydrinate
Allergic rash,Headache,Menstrual cramps,Runny nose,Nasal spray (Flonase)
Insomnia,Dry cough,Cough,Allergic rash,Guaifenesin
Dry cough,Insomnia,Acid reflux,Cough,Proton Pump Inhibitor (Omeprazole)
Toothache,Dizziness,Sinus pressure,Heartburn,Antacid (Tums)
Fever,Acid reflux,Runny nose,Hay fever,Nasal spray (Flonase)
Menstrual cramps,Hangover,Toothache,Sinus pressure,Electrolyte solution (Pedialyte)
Dry skin,Insomnia,Acid reflux,Nausea,Moisturizing lotion
Muscle pain,Insomnia,Dry cough,Hay fever,Loratadine
Acid reflux,Menstrual cramps,Fever,Hangover,Proton Pump Inhibitor (Omeprazole)
Sinus pressure,Toothache,Dry cough,Cough,Orajel
Heartburn,Cough,Sinus pressure,Hay fever,Proton Pump Inhibitor (Omeprazole)
Fever,Diarrhea,Toothache,Dizziness,Dimenhydrinate
Runny nose,Common cold,Allergic rash,Fever,Calamine lotion
Headache,Runny nose,Fever,Dry skin,Pseudoephedrine
Dry skin,Menstrual cramps,Toothache,Common cold,Paracetamol
Fever,Dry cough,Diarrhea,Dry skin,Bismuth subsalicylate
Common cold,Heartburn,Headache,Insomnia,Lavender oil
Heartburn,Common cold,Menstrual cramps,Fever,Paracetamol
Acid reflux,Headache,Heartburn,Runny nose,Ibuprofen
Allergic rash,Nausea,Dry skin,Dizziness,Ginkgo biloba
Dry cough,Hay fever,Acid reflux,Allergic rash,Antacid (Tums)
Fever,Runny nose,Hay fever,Allergic rash,Ibuprofen
Dizziness,Muscle pain,Insomnia,Toothache,Lavender oil
Hay fever,Muscle pain,Nausea,Toothache,Aspirin
Common cold,Insomnia,Dizziness,Hangover,Ginkgo biloba
Common cold,Dry cough,Menstrual cramps,Fever,Heating pad
Menstrual cramps,Hangover,Runny nose,Cough,Cold-EEZE
Fever,Menstrual cramps,Muscle pain,Cough,Dextromethorphan
Diarrhea,Heartburn,Nausea,Insomnia,Proton Pump Inhibitor (Omeprazole)
Allergic rash,Sinus pressure,Hay fever,Common cold,Pseudoephedrine
Muscle pain,Runny nose,Acid reflux,Insomnia,Ibuprofen
Hangover,Runny nose,Fever,Dry cough,Ginger supplements
Muscle pain,Headache,Heartburn,Runny nose,Antacid (Rolaids)
Headache,Dry skin,Heartburn,Fever,Hydrocortisone cream
Acid reflux,Common cold,Cough,Dizziness,Antacid (Tums)
Allergic rash,Cough,Nausea,Common cold,Ginger supplements
Allergic rash,Fever,Muscle pain,Dry cough,Hydrocortisone cream
Diarrhea,Allergic rash,Sinus pressure,Muscle pain,Paracetamol
Heartburn,Fever,Nausea,Allergic rash,Dimenhydrinate
Dizziness,Dry cough,Headache,Sinus pressure,Saline nasal spray
Allergic rash,Hangover,Runny nose,Headache,Hydrocortisone cream
Muscle pain,Toothache,Dry skin,Dry cough,Aloe vera gel
Headache,Runny nose,Fever,Allergic rash,Nasal spray (Flonase)
Dry cough,Nausea,Sinus pressure,Allergic rash,Electrolyte solution (Pedialyte)
Menstrual cramps,Acid reflux,Common cold,Hangover,Heating pad
Dizziness,Cough,Common cold,Sinus pressure,Cold-EEZE
Acid reflux,Cough,Common cold,Runny nose,Cold-EEZE
Headache,Runny nose,Menstrual cramps,Dizziness,Ginkgo biloba
Runny nose,Common cold,Insomnia,Fever,Lavender oil
Cough,Hangover,Nausea,Allergic rash,Dextromethorphan
Toothache,Sinus pressure,Runny nose,Insomnia,Aspirin
Menstrual cramps,Runny nose,Headache,Acid reflux,Ibuprofen
Dizziness,Runny nose,Dry skin,Heartburn,Antacid (Rolaids)
Menstrual cramps,Heartburn,Common cold,Diarrhea,Antacid (Tums)
Common cold,Dry cough,Heartburn,Nausea,Dimenhydrinate
Heartburn,Menstrual cramps,Allergic rash,Acid reflux,Antacid (Tums)
Nausea,Heartburn,Cough,Dizziness,Pseudoephedrine
Dry cough,Toothache,Diarrhea,Headache,Cold-EEZE
Sinus pressure,Dry skin,Diarrhea,Dry cough,Guaifenesin
Hangover,Sinus pressure,Headache,Heartburn,Electrolyte solution (Pedialyte)
Cough,Common cold,Runny nose,Sinus pressure,Pseudoephedrine
Dry skin,Toothache,Common cold,Insomnia,Ibuprofen
Toothache,Menstrual cramps,Runny nose,Hangover,Pseudoephedrine
Hay fever,Menstrual cramps,Dry cough,Nausea,Aspirin
Acid reflux,Cough,Headache,Diarrhea,Antacid (Rolaids)
